model,outcome,contrast,estimate,std_error,t_statistic,cluster_df,p_value,conf_low,conf_high,weights,specification,percentile,transformation
EXPANDING_P95_SIGNED_LOG,v5_delta_5m,large_minus_ordinary,4.795244067969337e-05,3.780023436699027e-06,12.685752213634075,103,8.992377070261401e-23,4.0455655731284855e-05,5.5449225628101886e-05,"{""focal_large"": 1, ""focal_ordinary"": -1}",expanding,p95,signed_log
EXPANDING_P95_ASINH,v5_delta_5m,large_minus_ordinary,4.281592698593898e-05,3.3741486737975513e-06,12.689401423959877,103,8.830421902893964e-23,3.612409890206139e-05,4.950775506981657e-05,"{""focal_large"": 1, ""focal_ordinary"": -1}",expanding,p95,asinh
EXPANDING_P95_RAW_SCALED_WINSOR,v5_delta_5m,large_minus_ordinary,0.0003397191137523917,7.689970963452287e-05,4.417690461601956,103,2.471301952488343e-05,0.0001872066768907526,0.0004922315506140308,"{""focal_large"": 1, ""focal_ordinary"": -1}",expanding,p95,raw_scaled_winsor
EXPANDING_P975_SIGNED_LOG,v5_delta_5m,large_minus_ordinary,6.0749918789216506e-05,4.89892439797936e-06,12.400664687594237,103,3.733303538090745e-22,5.103405768274815e-05,7.046577989568487e-05,"{""focal_large"": 1, ""focal_ordinary"": -1}",expanding,p975,signed_log
EXPANDING_P975_ASINH,v5_delta_5m,large_minus_ordinary,5.507278720257799e-05,4.4526839473941965e-06,12.36844740233758,103,4.386817276121679e-22,4.624193878170274e-05,6.390363562345323e-05,"{""focal_large"": 1, ""focal_ordinary"": -1}",expanding,p975,asinh
EXPANDING_P975_RAW_SCALED_WINSOR,v5_delta_5m,large_minus_ordinary,0.0002503104571210822,4.333576708582027e-05,5.776070759873207,103,8.174666218615181e-08,0.00016436418407352117,0.00033625673016864327,"{""focal_large"": 1, ""focal_ordinary"": -1}",expanding,p975,raw_scaled_winsor
EXPANDING_P99_SIGNED_LOG,v5_delta_5m,large_minus_ordinary,8.154817990964358e-05,6.667785470349566e-06,12.23017451180359,103,8.775043392497646e-22,6.832420006125786e-05,9.47721597580293e-05,"{""focal_large"": 1, ""focal_ordinary"": -1}",expanding,p99,signed_log
EXPANDING_P99_ASINH,v5_delta_5m,large_minus_ordinary,7.541930957488326e-05,6.200738296660292e-06,12.162956403998534,103,1.2298896060925285e-21,6.312160763999326e-05,8.771701150977325e-05,"{""focal_large"": 1, ""focal_ordinary"": -1}",expanding,p99,asinh
EXPANDING_P99_RAW_SCALED_WINSOR,v5_delta_5m,large_minus_ordinary,0.00013646413593323427,2.625343014589849e-05,5.197954521556252,103,1.0253832124247204e-06,8.439664924755922e-05,0.0001885316226189093,"{""focal_large"": 1, ""focal_ordinary"": -1}",expanding,p99,raw_scaled_winsor
EXPANDING_P995_SIGNED_LOG,v5_delta_5m,large_minus_ordinary,0.00010289276981058945,8.061174667973623e-06,12.763992103951534,103,6.092021128117878e-23,8.690533112684129e-05,0.00011888020849433761,"{""focal_large"": 1, ""focal_ordinary"": -1}",expanding,p995,signed_log
EXPANDING_P995_ASINH,v5_delta_5m,large_minus_ordinary,9.613232387583012e-05,7.54615638541133e-06,12.739243525575317,103,6.890144532582553e-23,8.116630248579057e-05,0.00011109834526586967,"{""focal_large"": 1, ""focal_ordinary"": -1}",expanding,p995,asinh
EXPANDING_P995_RAW_SCALED_WINSOR,v5_delta_5m,large_minus_ordinary,0.00011480796504969206,1.8872791438732487e-05,6.08325299531857,103,2.0282823656818425e-08,7.737823447746646e-05,0.00015223769562191765,"{""focal_large"": 1, ""focal_ordinary"": -1}",expanding,p995,raw_scaled_winsor
ROLLING7_P95_SIGNED_LOG,v5_delta_5m,large_minus_ordinary,4.874348147783703e-05,4.1764641110635754e-06,11.670992538572072,102,1.6917373712593013e-20,4.04594847159844e-05,5.702747823968966e-05,"{""focal_large"": 1, ""focal_ordinary"": -1}",rolling7,p95,signed_log
ROLLING7_P95_ASINH,v5_delta_5m,large_minus_ordinary,4.3633261081205965e-05,3.7376971503928406e-06,11.67383533912586,102,1.6677055902256508e-20,3.621955650545778e-05,5.104696565695415e-05,"{""focal_large"": 1, ""focal_ordinary"": -1}",rolling7,p95,asinh
ROLLING7_P95_RAW_SCALED_WINSOR,v5_delta_5m,large_minus_ordinary,0.0002901438534287301,7.224526661814982e-05,4.016094991555318,102,0.00011325817857465206,0.0001468457096380189,0.00043344199721944137,"{""focal_large"": 1, ""focal_ordinary"": -1}",rolling7,p95,raw_scaled_winsor
ROLLING7_P975_SIGNED_LOG,v5_delta_5m,large_minus_ordinary,6.007861958003078e-05,4.968781154661917e-06,12.091218693273001,102,2.05386590096387e-21,5.022306571892228e-05,6.993417344113928e-05,"{""focal_large"": 1, ""focal_ordinary"": -1}",rolling7,p975,signed_log
ROLLING7_P975_ASINH,v5_delta_5m,large_minus_ordinary,5.465583011498184e-05,4.541116074797419e-06,12.035770329306118,102,2.710667530872008e-21,4.5648547912037485e-05,6.366311231792619e-05,"{""focal_large"": 1, ""focal_ordinary"": -1}",rolling7,p975,asinh
